tokens,embedding
application,"[-0.01142082 -0.00816069 -0.00550968 ... -0.00703592  0.01146927
 -0.03214441]"
approaching,"[-0.01409076 -0.00282901 -0.01199572 ...  0.00174646  0.00058726
 -0.01173646]"
approved,"[-0.01417188  0.00226215 -0.01497049 ... -0.00426375 -0.0074311
 -0.00906892]"
approves,"[ 0.01615958 -0.01912739 -0.00716767 ... -0.00074323  0.00558506
 -0.01803829]"
apps,"[ 0.001418   -0.03403918  0.00622509 ... -0.01707743 -0.00629378
 -0.02011406]"
apriljuly,"[ 0.00832703 -0.03619444 -0.01941049 ... -0.01407802  0.01266372
 -0.02392758]"
aquarium,"[ 0.01166586 -0.01682023 -0.00918464 ... -0.00070127 -0.00950679
 -0.04345568]"
arbitrary,"[ 0.0205541  -0.02379227 -0.00630824 ... -0.00865111 -0.00691197
 -0.02220063]"
archaeological,"[ 0.0285172  -0.0334683  -0.01311072 ... -0.0217129  -0.01221178
 -0.0250459 ]"
archbishops,"[ 0.01601519 -0.02110506 -0.00241411 ... -0.02916284  0.01935587
 -0.01786475]"
archeology,"[ 0.00214629 -0.01935318  0.00962335 ... -0.01967263  0.01418878
 -0.02795164]"
archives,"[ 0.0130884  -0.03248379 -0.00724885 ... -0.00128634 -0.01839073
 -0.02880006]"
area,"[-0.01698986 -0.01538653  0.00624151 ... -0.01366868 -0.00941111
 -0.02113964]"
argentina,"[-0.01466322 -0.02180965 -0.00011756 ... -0.00690982 -0.00540098
 -0.02496451]"
argued,"[-0.00723542 -0.03109864  0.01256642 ... -0.01350156 -0.00721494
 -0.03115324]"
argument,"[-0.00489085 -0.02701287 -0.02712262 ... -0.00908203 -0.00702417
 -0.03717871]"
arm,"[-0.00054102 -0.04151823 -0.01344227 ... -0.00512247 -0.00566096
 -0.02378817]"
armaaruss,"[-0.0079763  -0.00570846 -0.01822381 ... -0.00207012  0.00273594
 -0.01001769]"
army,"[-0.00956116 -0.0218175  -0.00351048 ... -0.01615762  0.00022193
  0.00038491]"
around,"[-0.02366133 -0.01849094  0.00838147 ...  0.0058507   0.00683376
 -0.01087142]"
arranged,"[-0.02202091 -0.01490688  0.00496217 ... -0.01645459  0.00304111
 -0.01413303]"
arrest,"[-0.00676808 -0.01661091  0.01295014 ... -0.02639225 -0.00073206
 -0.04433434]"
arrested,"[-0.0251377  -0.0131113  -0.01390512 ...  0.00185556  0.02423804
 -0.03535155]"
art,"[-0.01160539 -0.00586811  0.00475926 ... -0.00527934  0.00771948
 -0.03048541]"
artemis,"[-0.01006437 -0.00783166  0.02048598 ... -0.02063712  0.00081752
 -0.01467406]"
arthur,"[ 0.00606252 -0.00271146 -0.00332871 ... -0.02515792  0.00717324
 -0.02110019]"
article,"[-0.01833153 -0.01817969  0.00709519 ... -0.00816499 -0.00723323
 -0.02165826]"
artificial,"[-0.01429589 -0.00210895  0.0179891  ... -0.02609783  0.00791793
 -0.03608723]"
artificially,"[-0.03382917 -0.02018264  0.00431753 ... -0.01268252 -0.00257753
 -0.01851443]"
artillery,"[-0.01897081 -0.00504253 -0.0032572  ... -0.00468478  0.00610214
 -0.02626203]"
asian,"[-0.00701857 -0.02147885  0.01724729 ... -0.0154817  -0.00226352
 -0.0245285 ]"
ask,"[-0.02130274 -0.01004525  0.01507809 ... -0.00391595 -0.00603396
 -0.02993825]"
asked,"[-0.00290269  0.00068655  0.0077107  ...  0.00852235  0.01072345
 -0.02356545]"
asks,"[-0.00861645 -0.01099852  0.00297229 ... -0.01484377  0.00946467
 -0.01639883]"
assange,"[-0.03773791 -0.00419156 -0.01266461 ...  0.00743553  0.00635651
 -0.01895195]"
assassination,"[-0.01272303 -0.03237592 -0.00168539 ... -0.00994286  0.0235287
 -0.00836104]"
asset,"[-0.02469353 -0.0256711  -0.00856373 ... -0.01102772  0.00138098
 -0.02463997]"
asshole,"[-0.00935043 -0.02239288  0.02401148 ... -0.01209938  0.00967817
 -0.01516937]"
assimilated,"[-0.03010461 -0.00360852 -0.00452577 ... -0.01177305 -0.00291806
 -0.02013246]"
assisted,"[ 0.00850551 -0.02791664 -0.00286055 ... -0.01947639  0.01089836
 -0.01638743]"
associate,"[ 0.010554   -0.02464714 -0.00714527 ...  0.00667997  0.00318664
 -0.0288631 ]"
association,"[-0.00238197 -0.01702708 -0.00428125 ... -0.02128035  0.01982528
 -0.00439668]"
assumes,"[ 0.01238721 -0.01909197 -0.01390076 ... -0.01240049  0.01064796
 -0.01020982]"
asteroid,"[ 0.01689519 -0.01974762 -0.00740536 ...  0.00129937 -0.01439931
 -0.03016998]"
astronaut,"[ 0.01058884 -0.01000659 -0.02230157 ... -0.00187031  0.0026049
 -0.03119782]"
astronomical,"[-0.00775231 -0.01240109  0.00021588 ... -0.00194944 -0.01506311
 -0.01507609]"
athlete,"[ 0.01269935 -0.01370661  0.00503629 ... -0.0064188  -0.00801198
 -0.01349594]"
atlantis,"[-0.00681162 -0.02179161  0.00603931 ... -0.00509654  0.00188207
 -0.0206088 ]"
atmosphere,"[ 0.02137637 -0.01093902  0.01931398 ...  0.00490862  0.01468754
 -0.00682818]"
atomic,"[ 0.00105554 -0.00162227  0.00432059 ... -0.01146253  0.00921202
 -0.00176006]"
atrocity,"[-0.00761753 -0.0064058   0.00789793 ... -0.0012401   0.01285166
 -0.01637001]"
attached,"[-0.0084213  -0.00032195  0.03031133 ...  0.0050809   0.0060549
 -0.01622673]"
attachment,"[-0.01353896 -0.01237181  0.01387538 ...  0.0130721  -0.00821812
 -0.02433169]"
attack,"[-0.01150934 -0.01831609  0.00211918 ... -0.01201033  0.00529376
 -0.03171583]"
attacks,"[ 0.00162948 -0.0122383   0.00609853 ...  0.00555536  0.00938499
 -0.02784558]"
attempt,"[-0.00534484 -0.02334351  0.01084512 ... -0.006878    0.00320231
 -0.03625874]"
attempting,"[-0.03983422 -0.03093947  0.00844178 ... -0.00796822 -0.00657498
 -0.01424808]"
attorney,"[ 0.00718842 -0.01095871  0.01056511 ...  0.00931525  0.00072894
 -0.0324273 ]"
attributed,"[-0.01272625 -0.00631255 -0.00590115 ...  0.01364346 -0.00999487
 -0.03666133]"
audio,"[-0.00327276  0.00560094  0.01069633 ... -0.01531278  0.00879387
  0.00305657]"
audit,"[ 0.02738087 -0.01726995 -0.02149088 ... -0.0027605  -0.02023563
 -0.01043508]"
august,"[ 0.01687859 -0.01167639 -0.01632122 ... -0.01204083 -0.00069404
  0.00671356]"
australia,"[-0.00786262 -0.00182442  0.00306064 ... -0.00532704 -0.0068125
 -0.00712488]"
australian,"[-0.00547872 -0.00908296 -0.02654514 ... -0.00989852 -0.01160199
 -0.01931034]"
australians,"[-0.01748797  0.00085771 -0.00644118 ... -0.00739568 -0.00917117
 -0.02703294]"
author,"[-0.00868106  0.00037765  0.01205104 ...  0.0199907   0.00065967
 -0.03884909]"
authorities,"[-0.00598977 -0.0008084   0.02067569 ...  0.00036341 -0.01339455
 -0.00353754]"
autism,"[ 0.02516901  0.00247877  0.01208529 ...  0.00053389 -0.00480846
 -0.00462125]"
auto,"[-0.01067722 -0.03042534  0.03131623 ... -0.03944226 -0.0116356
 -0.01039375]"
autobiography,"[-0.02788369 -0.0203014   0.01194039 ... -0.00610681 -0.01093625
 -0.0229108 ]"
autogenerate,"[-0.01907903 -0.01963938  0.0155393  ... -0.00791315 -0.00613303
 -0.03181661]"
autopsy,"[ 0.00081148  0.00220203 -0.00749243 ... -0.01508181 -0.01035922
 -0.01240891]"
available,"[-0.01804332  0.00261264  0.00740364 ... -0.00917576 -0.00095435
  0.00413609]"
avatar,"[ 0.00964692 -0.04967548  0.01502615 ... -0.01451841 -0.01076531
 -0.01155435]"
avatars,"[-0.00090747 -0.03166223  0.00303374 ... -0.01029354 -0.00634238
 -0.02501184]"
average,"[-0.00706446 -0.02606637  0.00216596 ... -0.01872967  0.00960985
 -0.02150645]"
averted,"[-0.00843343 -0.01652784  0.00393066 ... -0.01342004 -0.0112022
 -0.02048321]"
avoided,"[-0.01063119 -0.01714793  0.00787053 ... -0.01150053 -0.00322519
 -0.01284768]"
awake,"[-0.02330296  0.00650236 -0.00290441 ... -0.01137406  0.00587649
 -0.02120542]"
awakened,"[ 0.00657688 -0.00587111  0.00593338 ... -0.00385756 -0.00551822
 -0.0095972 ]"
away,"[ 0.02501361 -0.02784507  0.00686522 ... -0.01348857  0.02323505
 -0.02021862]"
az,"[-0.00086233 -0.01925768  0.01397573 ... -0.00404711 -0.01825839
 -0.00629907]"
b21,"[-0.01655186 -0.01207784  0.01496321 ... -0.00316033  0.0283785
 -0.05404135]"
baby,"[-0.01571212 -0.00288112  0.01306196 ... -0.00479119  0.00516882
 -0.02337262]"
back,"[-0.02546734  0.01007883  0.00256931 ... -0.01623013 -0.01599749
 -0.02112927]"
backchannel,"[-0.00963785  0.02154103  0.02367071 ... -0.00166763 -0.01138093
 -0.02331802]"
background,"[ 0.00325262 -0.02086464  0.02552928 ... -0.00715644 -0.01685119
 -0.0155621 ]"
backlash,"[ 0.00541547  0.00371433 -0.0026054  ...  0.0017045   0.00099233
 -0.00945527]"
backwards,"[-0.00418344 -0.01735458  0.0179895  ...  0.00326104  0.0113228
 -0.01359442]"
bad,"[ 0.00342156 -0.00444987  0.00018871 ...  0.02493545  0.0051803
 -0.00112088]"
badly,"[-0.00452562 -0.0031443   0.01596802 ...  0.00392446  0.01560327
 -0.00235569]"
bag,"[ 0.00138811 -0.02714834  0.02253543 ... -0.00822862  0.01474775
 -0.00583737]"
bail,"[-0.02520901 -0.0104001   0.00313903 ... -0.01414552  0.02237576
 -0.00098645]"
bailey,"[ 0.00495213 -0.00696061  0.01266016 ...  0.02495192 -0.01305689
  0.00440661]"
bailout,"[-0.00600612 -0.01755107 -0.01021865 ... -0.00665209  0.00049994
 -0.01654776]"
balance,"[-0.00094706 -0.02299451  0.00541227 ... -0.00706008  0.00628884
 -0.02559023]"
balearic,"[-0.00860703 -0.01726994  0.00992044 ... -0.01194644 -0.00345119
 -0.01372094]"
balenciaga,"[ 9.37709876e-04 -6.25490356e-05 -4.07041796e-03 ... -8.42677429e-04
 -1.36661751e-03  3.26810824e-03]"
ballot,"[-0.02629329 -0.02351564  0.0061351  ... -0.0013509  -0.00767225
  0.00399793]"
ban,"[-0.02736992 -0.02510464  0.00683582 ... -0.0075687  -0.00120759
  0.00880128]"
banging,"[-1.06697204e-02 -1.29063958e-02  1.39710924e-03 ... -1.58485327e-05
 -2.05852129e-02 -2.05852129e-02]"
bank,"[ 0.00127856 -0.01285643  0.00220285 ...  0.00337191 -0.03120066
 -0.02656307]"
banking,"[-0.00233881 -0.00743019  0.00058427 ... -0.00462223  0.00381551
 -0.01829504]"
bankman,"[ 0.0079561  -0.00958965 -0.0015732  ... -0.01136208  0.01328662
 -0.01618997]"
bankmanfried,"[-0.01993232 -0.01280206 -0.00626599 ... -0.00342165 -0.0099324
 -0.0186089 ]"
bankruptcy,"[-0.01337421 -0.00068221  0.01377496 ...  0.0129327   0.00402109
 -0.01749719]"
banks,"[-0.01388508 -0.00466624  0.01187395 ... -0.01126097 -0.03242608
  0.00020372]"
banned,"[-0.01497388 -0.01477941 -0.01743248 ...  0.01448771  0.00019816
 -0.03347592]"
baphomet,"[-0.01349919 -0.00434784 -0.01115568 ...  0.00858604  0.00503993
 -0.00893551]"
bar,"[-0.03006    -0.03087833 -0.00269708 ...  0.00613748  0.00285563
 -0.00767867]"
barack,"[ 0.01406217 -0.01764743  0.01495185 ... -0.01262807 -0.01157241
 -0.0119243 ]"
base,"[ 0.0054858  -0.01493435 -0.01060494 ...  0.018883   -0.00936394
 -0.03015075]"
based,"[ 0.01135564 -0.01021385 -0.00219363 ... -0.00025106 -0.01574981
 -0.02279433]"
basically,"[ 0.00049884 -0.00288895  0.0011402  ... -0.00855794 -0.01263193
 -0.02782612]"
bathroom,"[-0.01116857 -0.00762012  0.00479947 ...  0.00636911 -0.00172056
 -0.02430926]"
battery,"[ 0.0270142  -0.01258354  0.00073257 ...  0.01570056  0.00758544
 -0.01396209]"
bay,"[-0.0175852  -0.01542046  0.01270116 ...  0.00644746  0.01717096
 -0.0088995 ]"
bbc,"[-0.01760528 -0.00878222  0.0001502  ...  0.00615436 -0.00331886
 -0.01661132]"
beast,"[-0.01930263 -0.00534699  0.00649659 ...  0.02093346 -0.00818758
 -0.0097783 ]"
beat,"[-0.01646486  0.01712844  0.00739606 ... -0.00471067  0.00502171
 -0.03671762]"
beatles,"[-0.00236283 -0.02001225  0.01187942 ... -0.01745361 -0.00286052
 -0.02353691]"
beautification,"[-0.00799728 -0.00844454 -0.00015489 ... -0.01813073 -0.01889174
 -0.01579429]"
beautified,"[ 0.01667672 -0.01705978 -0.00253263 ... -0.00507552 -0.02740236
 -0.00421364]"
beautiful,"[ 0.01400721 -0.02452276 -0.0132561  ... -0.01001481 -0.0014151
 -0.00209093]"
became,"[-0.00439592 -0.01446336  0.01296346 ... -0.00808877  0.00628085
  0.00473742]"
become,"[-0.00163163  0.00517585  0.0144737  ...  0.02801361  0.01114541
 -0.02050329]"
becomes,"[-0.01753839 -0.02535441  0.00145444 ...  0.00974279  0.0051165
 -0.00697859]"
becoming,"[ 0.00037682 -0.01543064 -0.00865882 ... -0.00391788 -0.00175485
  0.00454019]"
bed,"[-0.00707424 -0.01502019 -0.00771796 ... -0.0057365  -0.00582032
 -0.00938091]"
beforehand,"[-0.00472389 -0.00855976 -0.00709085 ... -0.00804564  0.00154987
  0.00072152]"
began,"[-0.00695473 -0.00829126 -0.00384295 ...  0.00573382 -0.00700574
 -0.03373637]"
begin,"[ 0.00326454 -0.00678438  0.01785112 ... -0.00851026 -0.01809622
 -0.00080933]"
begun,"[ 0.01141218 -0.02043625  0.00050267 ... -0.00538699 -0.03093574
 -0.00011344]"
behaviour,"[-0.01866957 -0.00562507  0.02552449 ... -0.00520503 -0.00616271
 -0.03352189]"
behest,"[-0.0248042  -0.01286617  0.02025766 ... -0.00858865 -0.01049201
 -0.03629161]"
behind,"[-0.00141199 -0.02284188  0.00292431 ... -0.00663151 -0.00568416
 -0.01098016]"
belief,"[ 0.00428291 -0.03130862 -0.01277419 ... -0.00014559 -0.00101313
 -0.0158034 ]"
believe,"[-0.00352606 -0.01718803  0.00327083 ... -0.01393643 -0.00080897
 -0.0289777 ]"
believed,"[-0.03216019  0.0078974   0.00265516 ... -0.00829292 -0.01099022
 -0.0248204 ]"
believer,"[ 0.01371858 -0.01592311  0.01211785 ... -0.01593715 -0.01043286
 -0.0180153 ]"
believers,"[-0.013474   -0.00486138  0.00929195 ... -0.0037645  -0.0013305
 -0.02273281]"
believing,"[-0.01786799 -0.01540442  0.01059761 ... -0.00811988 -0.00828271
 -0.03582093]"
bell,"[-0.01242675 -0.02835651  0.00063724 ... -0.01384585  0.01061771
 -0.02112036]"
belly,"[-0.00547586 -0.02001911  0.00496469 ...  0.00182417 -0.00649151
 -0.02047349]"
ben,"[ 0.00846544 -0.04107105  0.02229689 ... -0.01686262 -0.00311993
 -0.01481453]"
benedictione,"[-3.84021690e-03 -2.67034005e-02 -2.95007376e-05 ... -1.06870597e-02
 -4.91604768e-03 -2.77151093e-02]"
benefit,"[-0.01273354 -0.00510219  0.0088892  ...  0.01059555  0.01553924
 -0.02566942]"
benefits,"[-9.37019577e-05 -1.60526596e-02  1.57577284e-02 ...  1.70217175e-02
  1.81522849e-03  3.00899590e-03]"
best,"[-0.00437738 -0.01917969 -0.00109948 ...  0.00794704 -0.0049592
  0.00556498]"
better,"[-0.00612025 -0.03376506 -0.00304508 ...  0.00513031 -0.01700293
 -0.00293137]"
betting,"[-0.00179275  0.00070685  0.02148629 ...  0.00624795 -0.0052916
 -0.04275931]"
beyond,"[ 0.0044565  -0.0061362   0.00885167 ...  0.00601695 -0.00796582
 -0.02601668]"
bezos,"[ 0.00473051 -0.01090088 -0.00057179 ...  0.00485615  0.00859166
 -0.01975062]"
bhakdi,"[ 0.01454936 -0.0221937   0.0101971  ...  0.00288232 -0.00307238
 -0.02245874]"
bhakdiburkhardt,"[-0.01150842 -0.00454334  0.0067305  ... -0.00165934  0.01103926
 -0.00043381]"
bible,"[ 0.00270642 -0.01157204  0.00277617 ...  0.00374923 -0.00995377
 -0.00585926]"
bid,"[-0.0110924  -0.02926741  0.00695514 ... -0.01380694 -0.02470644
 -0.01152646]"
biden,"[-0.01790324 -0.01193102 -0.00039633 ... -0.01299797  0.00223958
 -0.01873532]"
big,"[-0.00297148 -0.00245087  0.0180572  ... -0.00251659 -0.01584329
 -0.01645212]"
biggest,"[ 0.01316092 -0.02956994  0.01521626 ...  0.0025995  -0.0124803
 -0.02229202]"
bill,"[-0.00747037 -0.02742079 -0.00194916 ...  0.00729363 -0.02517765
 -0.01442413]"
billboard,"[ 0.01670038 -0.0125693  -0.00332856 ... -0.00442228 -0.02977083
 -0.03172124]"
billion,"[ 0.00027439 -0.01466902  0.00434747 ...  0.01159983  0.00050934
 -0.02026848]"
billionaire,"[-4.07564148e-05 -3.14427428e-02  3.80878570e-03 ... -7.36095104e-03
 -2.07052082e-02 -1.89628918e-02]"
billions,"[-3.68140191e-02 -1.94299966e-03  7.01573119e-03 ...  1.14925643e-02
  7.35377253e-05 -2.71851160e-02]"
binary,"[ 0.01347293 -0.03540226  0.01126566 ... -0.00641756 -0.01516421
 -0.02270331]"
biological,"[-0.00801534 -0.00882988  0.01319691 ...  0.02043878 -0.00301003
 -0.02012392]"
bioweapon,"[-0.02723042 -0.01256228  0.00235087 ...  0.00161416 -0.00794662
 -0.01129082]"
birchall,"[-0.01354267 -0.0025312   0.01977488 ... -0.01118949 -0.00449614
 -0.02148382]"
birmingham,"[-0.03342658 -0.01556159  0.00563851 ...  0.00371559  0.00714325
 -0.03575739]"
bit,"[-0.02248109 -0.00927241  0.01519067 ... -0.01758847 -0.00737358
 -0.01771321]"
bitch,"[-0.00716039 -0.02482362  0.01438971 ... -0.02594006 -0.01620909
 -0.00054228]"
bitcoin,"[-0.02770727 -0.01966579 -0.01549909 ... -0.0106888  -0.01524696
 -0.00402737]"
biting,"[-0.01251008 -0.00964012 -0.00225115 ... -0.01704582  0.00145839
 -0.02176888]"
bivalent,"[ 0.00500917 -0.00689663 -0.0061334  ...  0.00073702 -0.01405456
 -0.04422648]"
bizarre,"[-0.01173204 -0.02754185  0.01498342 ...  0.00134204 -0.02599744
 -0.02275962]"
black,"[ 0.00080603 -0.03124129  0.01778051 ... -0.00188117 -0.00179408
 -0.00023863]"
blackmail,"[ 0.01123716  0.00508894  0.00170855 ... -0.00325437 -0.00941854
 -0.00536971]"
blackouts,"[-0.00684553 -0.00473947  0.02808078 ... -0.00100432  0.02090608
 -0.01718436]"
blackrock,"[ 0.00211533 -0.02142021  0.01871098 ... -0.0031046  -0.01004948
 -0.01361284]"
blade,"[ 0.00781981 -0.00906564  0.01565371 ... -0.0089671  -0.01865212
 -0.02029914]"
blame,"[-0.00951904  0.00183712 -0.00090385 ... -0.00830954 -0.02196701
  0.00388672]"
blamed,"[ 0.00402124  0.01255474  0.00498402 ... -0.01216962 -0.01028256
  0.00253373]"
blaming,"[ 0.00575442 -0.01899382  0.00794927 ...  0.00268727 -0.02387594
 -0.03055895]"
blatant,"[ 0.00819852 -0.00807883 -0.00521301 ...  0.02377771 -0.0050634
 -0.02779385]"
blew,"[-0.01863885 -0.00964468 -0.00596403 ...  0.01943539  0.00704267
 -0.02491818]"
blind,"[ 0.00234744  0.00194551  0.00301115 ...  0.00370862 -0.01899572
  0.00607296]"
block,"[ 0.01330266  0.01884379  0.0033059  ...  0.01127992 -0.0084797
 -0.00695771]"
blockchain,"[ 0.00781763 -0.02761677  0.0156904  ... -0.00184066 -0.01727599
 -0.02822343]"
blog,"[-0.00495436  0.01129704  0.00622358 ...  0.00717974  0.00613851
 -0.01520336]"
blood,"[-0.00416666 -0.03268969 -0.00170454 ... -0.00406945 -0.0078171
 -0.0280772 ]"
bloodedthe,"[-0.02460685 -0.02846986  0.00702486 ... -0.00687933 -0.00048866
 -0.02198741]"
blow,"[-0.01910682 -0.01403116  0.00211597 ... -0.02598953  0.00399941
 -0.0355828 ]"
blower,"[-0.00151834 -0.02493073  0.0016549  ... -0.01749183  0.00244008
 -0.02268085]"
blowing,"[-0.0024061  -0.02335142 -0.00690051 ... -0.01304774  0.0078421
 -0.01563038]"
blue,"[-0.00885343  0.00434784  0.00084788 ...  0.00740086 -0.00253378
 -0.02362228]"
bmw,"[ 0.00582887  0.00743771  0.00706104 ... -0.01543724  0.0037029
 -0.01226425]"
board,"[-0.02239247 -0.02552043 -0.00516181 ... -0.00668888 -0.01012225
 -0.00603778]"
boat,"[-0.00795291 -0.01669443 -0.00188965 ...  0.0072044   0.0207845
 -0.02086469]"
bob,"[-0.01267229 -0.01580702  0.00853045 ... -0.00342152 -0.00537238
  0.00793686]"
body,"[ 9.01485255e-05 -4.13188804e-03  1.41468141e-02 ...  1.79587472e-02
 -1.09266248e-02 -3.68257537e-02]"
bomb,"[-0.01426621 -0.01011702 -0.01055484 ... -0.02046305 -0.00440178
 -0.03181944]"
bombing,"[-0.02796149  0.00177999  0.00909089 ...  0.00413966 -0.00868852
 -0.03292635]"
bonafide,"[ 0.02241757 -0.0117146   0.00364522 ... -0.02241757 -0.01808782
 -0.02945847]"
bonus,"[-0.02888172 -0.01661446  0.00246907 ...  0.00387852  0.0118665
 -0.00639174]"
book,"[-0.02049397 -0.00336623 -0.00936751 ...  0.01093557  0.01663516
 -0.01146735]"
boosted,"[ 0.0096355  -0.0257591   0.01684143 ... -0.00853805 -0.02216994
 -0.01725556]"
booster,"[-0.02035165 -0.00526728  0.01382532 ...  0.008527    0.00475332
 -0.0249049 ]"
boosters,"[-0.00396664 -0.02763508 -0.0006239  ... -0.01355467 -0.0049305
 -0.02351004]"
boring,"[-0.00622572 -0.02087001 -0.00066344 ... -0.01410778 -0.01833508
 -0.02958386]"
bos,"[-6.46510953e-03 -8.71692598e-03 -4.04449133e-03 ... -5.39828232e-03
  9.64280407e-05 -1.61104444e-02]"
bosmans,"[-0.00203316 -0.04446734  0.00642545 ... -0.01898062 -0.00054022
 -0.02433068]"
boss,"[ 0.00472713 -0.03052042 -0.00354279 ... -0.02717161 -0.00079977
 -0.01644454]"
bostonteaparty,"[-7.12606730e-03 -7.37062283e-03  5.99712257e-05 ... -6.96982397e-03
 -3.01618106e-03 -2.45642141e-02]"
bot,"[ 0.00149575 -0.00513911 -0.00280378 ... -0.00574533  0.00204772
 -0.02327067]"
botched,"[-0.02270233 -0.01812289 -0.00622191 ... -0.01919467  0.00528584
 -0.02044741]"
bottom,"[ 0.00083161 -0.04485845  0.01823323 ... -0.01950307 -0.01500343
 -0.0249413 ]"
bought,"[-0.00300745 -0.02063224 -0.00496689 ... -0.00211989  0.0035946
 -0.01781937]"
bourla,"[-0.00099716  0.00935433  0.00130143 ... -0.00154659  0.02619213
 -0.02121243]"
boy,"[ 0.0109379  -0.02966492  0.00731956 ... -0.00462996 -0.01117959
 -0.02143387]"
brag,"[ 0.00569232 -0.00874074  0.03435616 ... -0.00740434  0.00526973
 -0.02906838]"
brain,"[-0.01175583 -0.01300557  0.00023304 ... -0.00774566 -0.00200508
 -0.01661747]"
brainwash,"[-1.02904048e-02 -1.42861465e-02  6.16316684e-05 ... -5.01178252e-03
 -1.55177107e-02 -4.77231195e-04]"
brainwashed,"[-0.01658271 -0.02787166 -0.01233447 ... -0.01799879 -0.0129234
 -0.00404642]"
brainwashing,"[-0.0118212  -0.02635142  0.00328367 ... -0.01347671 -0.01288839
  0.00384463]"
brand,"[-0.01764885 -0.01605432  0.00195228 ... -0.01875275 -0.00166182
  0.00046294]"
braun,"[ 0.00536154 -0.00198398  0.00059218 ... -0.01585769  0.00670548
 -0.0106238 ]"
bread,"[-0.02973701 -0.01460861 -0.00131655 ... -0.00366241  0.00672297
 -0.00310501]"
break,"[-0.01015716 -0.02275996 -0.00347231 ... -0.01290674  0.0187593
 -0.00076426]"
breakdown,"[ 0.0018002  -0.0255218  -0.01046915 ... -0.01054728  0.00703152
 -0.01625062]"
breaking,"[-0.03136336 -0.02216483 -0.01986519 ... -0.00297361 -0.00160617
 -0.00674949]"
breakout,"[-0.00020315 -0.00125387 -0.00353695 ... -0.00384215  0.0149481
 -0.00534781]"
breaks,"[ 0.00109354 -0.00847342  0.01683689 ...  0.00498922 -0.02944051
 -0.02189483]"
breakthrough,"[-0.02041204 -0.02129083 -0.00902763 ... -0.0129689  -0.0014372
 -0.02801496]"
breed,"[-2.30480880e-02 -1.99349262e-02 -1.15173636e-02 ... -2.74973717e-02
 -8.33509912e-05 -1.07691363e-02]"
brief,"[-0.03287229 -0.00461554 -0.00264655 ... -0.0146114  -0.00114047
 -0.03279178]"
briefer,"[-0.01729364 -0.019812   -0.00134458 ... -0.02194189  0.0065973
 -0.00468174]"
brigade,"[-0.00829667 -0.0150386   0.0067702  ...  0.006802   -0.01920813
 -0.00654052]"
